Product	Product information				One-to-one comparison					Source			Individual analyte levels reported																			Additional information		Supporting fields for one-to-one comparison			DRI	
	Category	Country	Reported packaging type	Sample size (n)	Summarized findings (ng/serving)	Compounds tested	Phthalates (ng/serving)	Phthalate substitutes (ng/serving)	Bisphenols (ng/serving)	Author	Title	Published	Reporting format	Mean DBP (ng/g)	Mean BBP (ng/g)	Mean DEHP (ng/g)	Mean DINP (ng/g)	Mean DIDP (ng/g)	Mean DMP (ng/g)	Mean DEP (ng/g)	Mean DIBP (ng/g)	Mean DNHP (ng/g)	Mean DCHP (ng/g)	Mean DNOP (ng/g)	Mean DIDA (ng/g)	Mean DEHA (ng/g)	Mean DINCH (ng/g)	Mean DEHT (ng/g)	Mean BPA (ng/g)	Mean BPS (ng/g)	Mean BPF (ng/g)	Serving size (g)	Notes	Phthalates (n)	Phthalate substitutes (n)	Bisphenols (n)	Created	Reviewed
Basa	Seafood	Canada	Packaged	4	10,032 ng/serving for 4 phthalates 20,708 ng/serving for 3 phthalate substitutes 2,100 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	10,032	20,708	2,100	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	3.62±4.77	N/A	3.16±2.02	28.3±20.1	N/A	N/A	31.8±27.8	N/A	N/A	N/A	N/A	0	136±106	2.05±2.19	N/A	0	14.0±17.3	N/A	150		4	3	2	Richel	Yaroslav
Basa	Seafood	Canada	Non-packaged	2	8,558 ng/serving for 4 phthalates 22,554 ng/serving for 3 phthalate substitutes 1,740 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	8,558	22,554	1,740	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	21.2±29.9	N/A	8.70±5.65	1.95±1.39	N/A	N/A	25.2±35.6	N/A	N/A	N/A	N/A	0	148±151	2.36±3.12	N/A	0	11.6±7.7	N/A	150		4	3	2	Richel	Yaroslav
Cod	Seafood	Canada	Packaged	4	2,321 ng/serving for 4 phthalates 28,656 ng/serving for 3 phthalate substitutes 4,146 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	2,321	28,656	4,146	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	4.89±7.55	N/A	1.72±2.49	0.87±0.86	N/A	N/A	7.99±15.8	N/A	N/A	N/A	N/A	0	190±62.1	1.04±1.05	N/A	4.34±8.08	23.3±26.9	N/A	150		4	3	2	Richel	Yaroslav
Cod	Seafood	Canada	Non-packaged	4	4,725 ng/serving for 4 phthalates 4,041 ng/serving for 3 phthalate substitutes 2,910 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	4,725	4,041	2,910	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	1.85±2.38	N/A	1.02±1.55	0.13±0.16	N/A	N/A	28.5±29.2	N/A	N/A	N/A	N/A	0	26.3±37.8	0.64±0.97	N/A	0	19.4±33.8	N/A	150		4	3	2	Richel	Yaroslav
Haddock	Seafood	Canada	Packaged	4	4,782 ng/serving for 4 phthalates 30,150 ng/serving for 3 phthalate substitutes 1,725 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	4,782	30,150	1,725	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	1.81±2.40	N/A	0.98±1.63	7.39±3.98	N/A	N/A	21.7±23.0	N/A	N/A	N/A	N/A	0	201±80.9	0	N/A	0	11.5±22.7	N/A	150		4	3	2	Richel	Yaroslav
Haddock	Seafood	Canada	Non-packaged	4	5,168 ng/serving for 4 phthalates 1,440 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	5,168	1,440	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	1.68±2.39	N/A	2.71±1.31	8.66±8.23	N/A	N/A	21.4±18.5	N/A	N/A	N/A	N/A	0	9.6±10.2	0	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Hake	Seafood	Canada	Packaged	2	7,439 ng/serving for 4 phthalates 48,750 ng/serving for 3 phthalate substitutes 7,035 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	7,439	48,750	7,035	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	25.8±36.3	N/A	0.46±0.58	3.23±4.49	N/A	N/A	20.1±28.3	N/A	N/A	N/A	N/A	0	325±11.4	0	N/A	0	46.9±66.3	N/A	150		4	3	2	Richel	Yaroslav
Halibut	Seafood	Canada	Packaged	2	7,575 ng/serving for 4 phthalates 22,500 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	7,575	22,500	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0.70±0.28	28.5±31.2	N/A	N/A	21.3±30.0	N/A	N/A	N/A	N/A	0	150±49.9	0	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Halibut	Seafood	Canada	Non-packaged	3	4,226 ng/serving for 4 phthalates 3,420 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	4,226	3,420	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	3.85±5.44	N/A	0	0.22±0.30	N/A	N/A	24.1±35.4	N/A	N/A	N/A	N/A	0	17.1±24.4	5.70±9.61	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Rainbow trout	Seafood	Canada	Packaged	4	5,540 ng/serving for 4 phthalates 39,185 ng/serving for 3 phthalate substitutes 1,437 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	5,540	39,185	1,437	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	6.06±7.41	N/A	1.46±1.37	5.41±4.81	N/A	N/A	24.0±25.8	N/A	N/A	N/A	N/A	0	259±84.7	2.23±2.59	N/A	0	9.58±13.4	N/A	150		4	3	2	Richel	Yaroslav
